"title","url","stars","name","reviewUrl","text"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Arga dearga","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pCUE9ITktTemsxYTNwamMyNUJVMEpCVUVkRWFGRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOjBPOHNKSzk1a3pjc25BU0JBUEdEaFE%7C0d2lqsHy445%7C?hl=en","skal tanggal 13 Oktober 2025, seru poll"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","fatma sari","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t4d2JrMTVVMXBJUVhCVlNuVmpObkZYUmxaSVRWRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOkxwbk15U1pIQXBVSnVjNnFXRlZITVE%7C0d271MaHC7h%7C?hl=en","Banyak wahan edukasi yg disediakan, cocok untk studytour anak anak karena bisa belajar sambil bermaian"
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","4","Habil Dewananta","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2swM2JYTXRkbmR3VW5oNlUxOVBkemxVV1c1dGJXYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOk03bXMtdndwUnh6U19PdzlUWW5tbWc%7C0d1prM1SI09%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Brigita Sendytia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pWRVZWbHlSMGRmVGpKWlRsSkZkMlpOZDNoSWJGRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOjVEVVlyR0dfTjJZTlJFd2ZNd3hIbFE%7C0d1j0igiFsc%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Asma Santi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tOWFVYRjJVekF6VDNWdVpWZDBPRjlCUTAxV00xRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOkNXUXF2UzAzT3VuZVd0OF9BQ01WM1E%7C0d17x3UIGjs%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Syifa Aprilia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tGRVQycFVkRkp6WkU0MGRqSnFWbGRJWlRsalJIYxAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOkFET2pUdFJzZE40djJqVldIZTljRHc%7C0d0z5lrint0%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","andie computer","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tSWVRtVlNlRUZNVTJwSGVYSjFkVzkwZW5VMldGRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOkRYTmVSeEFMU2pHeXJ1dW90enU2WFE%7C0d0yZbD8Rvy%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Nadhifatul Mutrofin","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25GSFdVSlBMVWt6YVU5WE9XSm9NVEp3TmkxUWRGRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOnFHWUJPLUkzaU9XOWJoMTJwNi1QdFE%7C0d0jm5d0_YI%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","劉書宏","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xGbk9IWm5SRlJUUkV0R2NHNXRWVTFMY1Zkc09GRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CAIQACodChtycF9oOlFnOHZnRFRTREtGcG5tVU1LcVdsOFE%7C0d0WpkrM0OT%7C?hl=en",
"Jawa Timur Park 1","https://www.google.com/maps/search/?api=1&query=Jawa%20Timur%20Park%201&query_place_id=ChIJuQcd1iqHeC4RgJdHUq1IqFk","5","Adimas Muhamad Adha","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNUcHB1SGhBRRAB!2m1!1s0x0:0x59a848ad52479780!3m1!1s2@1:CIHM0ogKEICAgICTppuHhAE%7CCgwI5qOMsgYQgOqDhgM%7C?hl=en",
